time,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),surface_solar_radiation (W/m^2)
2018-01-01 00:00:00,"(52.0, 21.0)",era5,115.51,1.0,7.88,0.0
2018-01-01 01:00:00,"(52.0, 21.0)",era5,115.51,1.0,7.59,0.0
2018-01-01 02:00:00,"(52.0, 21.0)",era5,115.51,1.0,7.45,0.0
2018-01-01 03:00:00,"(52.0, 21.0)",era5,115.51,1.0,7.13,0.0
2018-01-01 04:00:00,"(52.0, 21.0)",era5,115.51,1.0,7.07,0.0
2018-01-01 05:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.94,0.0
2018-01-01 06:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.65,0.0
2018-01-01 07:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.48,0.46
2018-01-01 08:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.73,26.76
2018-01-01 09:00:00,"(52.0, 21.0)",era5,115.51,1.0,7.36,70.76
2018-01-01 10:00:00,"(52.0, 21.0)",era5,115.51,1.0,8.23,100.76
2018-01-01 11:00:00,"(52.0, 21.0)",era5,115.51,1.0,8.55,101.46
2018-01-01 12:00:00,"(52.0, 21.0)",era5,115.51,1.0,8.91,117.46
2018-01-01 13:00:00,"(52.0, 21.0)",era5,115.51,1.0,8.66,70.86
2018-01-01 14:00:00,"(52.0, 21.0)",era5,115.51,1.0,8.31,33.66
2018-01-01 15:00:00,"(52.0, 21.0)",era5,115.51,1.0,8.0,2.86
2018-01-01 16:00:00,"(52.0, 21.0)",era5,115.51,1.0,7.72,0.0
2018-01-01 17:00:00,"(52.0, 21.0)",era5,115.51,1.0,7.22,0.0
2018-01-01 18:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.74,0.0
2018-01-01 19:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.04,0.0
2018-01-01 20:00:00,"(52.0, 21.0)",era5,115.51,1.0,5.3,0.0
2018-01-01 21:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.57,0.0
2018-01-01 22:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.61,0.0
2018-01-01 23:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.78,0.0
2018-01-02 00:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.28,0.0
2018-01-02 01:00:00,"(52.0, 21.0)",era5,115.51,1.0,1.6,0.0
2018-01-02 02:00:00,"(52.0, 21.0)",era5,115.51,1.0,0.74,0.0
2018-01-02 03:00:00,"(52.0, 21.0)",era5,115.51,1.0,0.16,0.0
2018-01-02 04:00:00,"(52.0, 21.0)",era5,115.51,1.0,0.06,0.0
2018-01-02 05:00:00,"(52.0, 21.0)",era5,115.51,1.0,-0.24,0.0
2018-01-02 06:00:00,"(52.0, 21.0)",era5,115.51,1.0,-0.63,0.0
2018-01-02 07:00:00,"(52.0, 21.0)",era5,115.51,1.0,-0.79,0.56
2018-01-02 08:00:00,"(52.0, 21.0)",era5,115.51,1.0,-0.04,43.56
2018-01-02 09:00:00,"(52.0, 21.0)",era5,115.51,1.0,1.22,120.46
2018-01-02 10:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.38,173.26
2018-01-02 11:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.28,184.96
2018-01-02 12:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.23,131.06
2018-01-02 13:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.27,91.56
2018-01-02 14:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.09,36.16
2018-01-02 15:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.09,3.56
2018-01-02 16:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.89,0.0
2018-01-02 17:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.63,0.0
2018-01-02 18:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.54,0.0
2018-01-02 19:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.51,0.0
2018-01-02 20:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.46,0.0
2018-01-02 21:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.88,0.0
2018-01-02 22:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.25,0.0
2018-01-02 23:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.24,0.0
2018-01-03 00:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.02,0.0
2018-01-03 01:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.96,0.0
2018-01-03 02:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.92,0.0
2018-01-03 03:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.85,0.0
2018-01-03 04:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.77,0.0
2018-01-03 05:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.69,0.0
2018-01-03 06:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.64,0.0
2018-01-03 07:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.42,0.26
2018-01-03 08:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.6,18.06
2018-01-03 09:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.31,44.86
2018-01-03 10:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.43,62.56
2018-01-03 11:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.99,92.96
2018-01-03 12:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.26,108.66
2018-01-03 13:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.86,68.36
2018-01-03 14:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.58,34.86
2018-01-03 15:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.16,2.16
2018-01-03 16:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.4,0.0
2018-01-03 17:00:00,"(52.0, 21.0)",era5,115.51,1.0,1.85,0.0
2018-01-03 18:00:00,"(52.0, 21.0)",era5,115.51,1.0,1.68,0.0
2018-01-03 19:00:00,"(52.0, 21.0)",era5,115.51,1.0,1.69,0.0
2018-01-03 20:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.43,0.0
2018-01-03 21:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.34,0.0
2018-01-03 22:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.12,0.0
2018-01-03 23:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.07,0.0
2018-01-04 00:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.73,0.0
2018-01-04 01:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.55,0.0
2018-01-04 02:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.74,0.0
2018-01-04 03:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.23,0.0
2018-01-04 04:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.29,0.0
2018-01-04 05:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.37,0.0
2018-01-04 06:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.49,0.0
2018-01-04 07:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.64,0.46
2018-01-04 08:00:00,"(52.0, 21.0)",era5,115.51,1.0,5.09,32.36
2018-01-04 09:00:00,"(52.0, 21.0)",era5,115.51,1.0,5.92,84.26
2018-01-04 10:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.81,117.66
2018-01-04 11:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.89,100.76
2018-01-04 12:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.95,104.66
2018-01-04 13:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.84,50.26
2018-01-04 14:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.92,41.86
2018-01-04 15:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.45,3.26
2018-01-04 16:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.48,0.0
2018-01-04 17:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.14,0.0
2018-01-04 18:00:00,"(52.0, 21.0)",era5,115.51,1.0,6.0,0.0
2018-01-04 19:00:00,"(52.0, 21.0)",era5,115.51,1.0,5.85,0.0
2018-01-04 20:00:00,"(52.0, 21.0)",era5,115.51,1.0,5.8,0.0
2018-01-04 21:00:00,"(52.0, 21.0)",era5,115.51,1.0,5.34,0.0
2018-01-04 22:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.05,0.0
2018-01-04 23:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.82,0.0
2018-01-05 00:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.63,0.0
2018-01-05 01:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.45,0.0
2018-01-05 02:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.13,0.0
2018-01-05 03:00:00,"(52.0, 21.0)",era5,115.51,1.0,2.94,0.0
2018-01-05 04:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.36,0.0
2018-01-05 05:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.8,0.0
2018-01-05 06:00:00,"(52.0, 21.0)",era5,115.51,1.0,3.81,0.0
2018-01-05 07:00:00,"(52.0, 21.0)",era5,115.51,1.0,4.24,0.26
2018-01-05 08:00:00,"(52.0, 21.0)",era5,115.51,1.0,5.18,17.86
